Data Type,Mean Accuracy,Elapsed Time
Standard,0.9734848484848485,1.8850171566009521
PCA,0.8383838383838383,0.7619049549102783
ICA,0.7474747474747475,0.6582479476928711
RFE,0.9633838383838383,1.1445379257202148
GRP-1,0.9747474747474747,1.977705955505371
GRP-2,0.9734848484848485,1.105957269668579
GRP-3,0.976010101010101,1.6931548118591309
GRP-4,0.9772727272727273,1.6889159679412842
GRP-5,0.9747474747474747,1.6535770893096924
GRP-6,0.976010101010101,1.6713860034942627
GRP-7,0.9734848484848485,1.964076042175293
GRP-8,0.9747474747474747,1.8239820003509521
GRP-9,0.9747474747474747,1.621304988861084
GRP-10,0.976010101010101,1.561650276184082
GRP-11,0.9734848484848485,1.8850691318511963
GRP-12,0.9772727272727273,1.8621611595153809
GRP-13,0.976010101010101,1.7520599365234375
GRP-14,0.976010101010101,1.9961819648742676
GRP-15,0.9747474747474747,1.8569920063018799
GRP-16,0.9722222222222222,1.7857580184936523
GRP-17,0.9734848484848485,1.979201078414917
GRP-18,0.9734848484848485,1.7013769149780273
GRP-19,0.9709595959595959,1.7975449562072754
GRP-20,0.9747474747474747,1.733370065689087
Standard,0.9734848484848485,2.1277477741241455
PCA,0.8396464646464646,0.5699048042297363
ICA,0.7462121212121212,0.9728329181671143
RFE,0.9621212121212122,0.6729488372802734
GRP-1,0.5921717171717171,0.8354690074920654
GRP-2,0.3333333333333333,0.6747169494628906
GRP-3,0.494949494949495,0.3495171070098877
GRP-4,0.4861111111111111,0.9065849781036377
GRP-5,0.16792929292929293,1.0314538478851318
GRP-6,0.4823232323232323,0.6916451454162598
GRP-7,0.45580808080808083,0.5251760482788086
GRP-8,0.4015151515151515,0.7523889541625977
GRP-9,0.5631313131313131,0.5807569026947021
GRP-10,0.6224747474747475,0.31144118309020996
GRP-11,0.4696969696969697,0.6746847629547119
GRP-12,0.3434343434343434,0.7896430492401123
GRP-13,0.7588383838383839,0.735947847366333
GRP-14,0.4861111111111111,0.6357250213623047
GRP-15,0.4898989898989899,0.7120387554168701
GRP-16,0.45707070707070707,0.6385619640350342
GRP-17,0.3560606060606061,0.7745769023895264
GRP-18,0.4595959595959596,0.45420217514038086
GRP-19,0.24494949494949494,1.3380630016326904
GRP-20,0.51010101010101,0.27245497703552246
